$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
10/31/23;10:56:38;0;4143;0;4179;0;1
10/31/23;11:16:48;0;4143;0;4175;0;5
10/31/23;11:36:57;0;4130;0;4175;0;4
10/31/23;11:57:07;0;4138;0;4176;0;4
10/31/23;12:17:16;0;4143;0;4173;0;7
10/31/23;12:37:26;0;4145;0;4180;0;9
10/31/23;12:57:36;0;4132;0;4178;0;3
10/31/23;13:17:45;0;4131;0;4175;0;4
10/31/23;13:37:55;0;4133;0;4182;0;6
10/31/23;13:58:04;0;4132;0;4174;0;1
10/31/23;14:18:14;0;4151;0;4180;0;4
10/31/23;14:38:24;0;4146;0;4184;0;2
10/31/23;14:58:33;0;4144;0;4173;0;9
10/31/23;15:18:43;0;4148;0;4177;0;4
10/31/23;15:38:52;0;4140;132;4175;0;0
10/31/23;15:59:02;0;4146;131;4171;0;6
10/31/23;16:19:12;0;4148;132;4182;0;10
10/31/23;16:39:21;0;4134;132;4173;0;2
10/31/23;16:59:31;0;4136;131;4180;0;1
10/31/23;17:19:40;0;4135;132;4185;0;8
10/31/23;17:39:50;0;4132;131;4172;0;7
10/31/23;18:00:00;0;4145;131;4176;0;8
10/31/23;18:20:09;0;4146;131;4173;0;4
10/31/23;18:40:19;0;4142;132;4182;0;4
10/31/23;19:00:28;0;4147;131;4176;0;9
10/31/23;19:20:38;0;4135;132;4173;0;4
10/31/23;19:40:48;0;4132;132;4182;0;0
10/31/23;20:00:57;0;4150;132;4178;0;4
10/31/23;20:21:07;0;4133;132;4182;0;8
10/31/23;20:41:16;0;4149;132;4174;0;1
10/31/23;21:01:26;0;4145;132;4175;0;3
10/31/23;21:21:36;0;4133;131;4173;0;1
10/31/23;21:41:45;0;4133;132;4185;0;4
10/31/23;22:01:55;0;4132;132;4176;0;6
10/31/23;22:22:04;0;4134;132;4174;0;2
10/31/23;22:42:14;0;4133;132;4177;0;1
10/31/23;23:02:24;0;4151;132;4173;0;9
10/31/23;23:22:33;0;4145;132;4178;0;2
10/31/23;23:42:43;0;4146;132;4183;0;6
11/01/2023;0:02:52;0;0;132;0;0;0
11/01/2023;0:23:02;0;4144;132;4177;0;1
11/01/2023;0:43:12;0;4134;132;4173;0;6
11/01/2023;1:03:21;0;4144;132;4184;0;8
